User,Gesture Type,Number of Templates (E),Count,"Reco Result (1 if correct, 0 if incorrect)",Reco Score
1,arrow,1,15,1,0.827254923251399
1,caret,1,15,1,0.9692855062221495
1,check,1,15,1,0.940378272707512
1,circle,1,15,1,0.8949185378516611
1,delete_mark,1,15,1,0.917442967770304
1,left_curly_brace,1,15,1,0.8689581346725144
1,left_sq_bracket,1,15,1,0.9458120516069446
1,pigtail,1,15,1,0.8999833028978477
1,question_mark,1,15,1,0.9621172060142839
1,rectangle,1,15,1,0.9456054921960659
1,right_curly_brace,1,15,1,0.9437116717643806
1,right_sq_bracket,1,15,1,0.9592716118577493
1,star,1,15,1,0.9321521164126014
1,triangle,1,15,1,0.9435256656648427
1,v,1,15,1,0.8120778005163611
1,arrow,1,30,1,0.827254923251399
1,caret,1,30,1,0.9692855062221495
1,check,1,30,1,0.940378272707512
1,circle,1,30,1,0.8949185378516611
1,delete_mark,1,30,1,0.917442967770304
1,left_curly_brace,1,30,1,0.8689581346725144
1,left_sq_bracket,1,30,1,0.9458120516069446
1,pigtail,1,30,1,0.8999833028978477
1,question_mark,1,30,1,0.9621172060142839
1,rectangle,1,30,1,0.9456054921960659
1,right_curly_brace,1,30,1,0.9437116717643806
1,right_sq_bracket,1,30,1,0.9592716118577493
1,star,1,30,1,0.9321521164126014
1,triangle,1,30,1,0.9435256656648427
1,v,1,30,1,0.8120778005163611
1,arrow,1,45,1,0.827254923251399
1,caret,1,45,1,0.9692855062221495
1,check,1,45,1,0.940378272707512
1,circle,1,45,1,0.8949185378516611
1,delete_mark,1,45,1,0.917442967770304
1,left_curly_brace,1,45,1,0.8689581346725144
1,left_sq_bracket,1,45,1,0.9458120516069446
1,pigtail,1,45,1,0.8999833028978477
1,question_mark,1,45,1,0.9621172060142839
1,rectangle,1,45,1,0.9456054921960659
1,right_curly_brace,1,45,1,0.9437116717643806
1,right_sq_bracket,1,45,1,0.9592716118577493
1,star,1,45,1,0.9321521164126014
1,triangle,1,45,1,0.9435256656648427
1,v,1,45,1,0.8120778005163611
1,arrow,1,60,1,0.827254923251399
1,caret,1,60,1,0.9692855062221495
1,check,1,60,1,0.940378272707512
1,circle,1,60,1,0.8949185378516611
1,delete_mark,1,60,1,0.917442967770304
1,left_curly_brace,1,60,1,0.8689581346725144
1,left_sq_bracket,1,60,1,0.9458120516069446
1,pigtail,1,60,1,0.8999833028978477
1,question_mark,1,60,1,0.9621172060142839
1,rectangle,1,60,1,0.9456054921960659
1,right_curly_brace,1,60,1,0.9437116717643806
1,right_sq_bracket,1,60,1,0.9592716118577493
1,star,1,60,1,0.9321521164126014
1,triangle,1,60,1,0.9435256656648427
1,v,1,60,1,0.8120778005163611
1,arrow,1,75,1,0.827254923251399
1,caret,1,75,1,0.9692855062221495
1,check,1,75,1,0.940378272707512
1,circle,1,75,1,0.8949185378516611
1,delete_mark,1,75,1,0.917442967770304
1,left_curly_brace,1,75,1,0.8689581346725144
1,left_sq_bracket,1,75,1,0.9458120516069446
1,pigtail,1,75,1,0.8999833028978477
1,question_mark,1,75,1,0.9621172060142839
1,rectangle,1,75,1,0.9456054921960659
1,right_curly_brace,1,75,1,0.9437116717643806
1,right_sq_bracket,1,75,1,0.9592716118577493
1,star,1,75,1,0.9321521164126014
1,triangle,1,75,1,0.9435256656648427
1,v,1,75,1,0.8120778005163611
1,arrow,1,90,1,0.827254923251399
1,caret,1,90,1,0.9692855062221495
1,check,1,90,1,0.940378272707512
1,circle,1,90,1,0.8949185378516611
1,delete_mark,1,90,1,0.917442967770304
1,left_curly_brace,1,90,1,0.8689581346725144
1,left_sq_bracket,1,90,1,0.9458120516069446
1,pigtail,1,90,1,0.8999833028978477
1,question_mark,1,90,1,0.9621172060142839
1,rectangle,1,90,1,0.9456054921960659
1,right_curly_brace,1,90,1,0.9437116717643806
1,right_sq_bracket,1,90,1,0.9592716118577493
1,star,1,90,1,0.9321521164126014
1,triangle,1,90,1,0.9435256656648427
1,v,1,90,1,0.8120778005163611
1,arrow,1,105,1,0.827254923251399
1,caret,1,105,1,0.9692855062221495
1,check,1,105,1,0.940378272707512
1,circle,1,105,1,0.8949185378516611
1,delete_mark,1,105,1,0.917442967770304
1,left_curly_brace,1,105,1,0.8689581346725144
1,left_sq_bracket,1,105,1,0.9458120516069446
1,pigtail,1,105,1,0.8999833028978477
1,question_mark,1,105,1,0.9621172060142839
1,rectangle,1,105,1,0.9456054921960659
1,right_curly_brace,1,105,1,0.9437116717643806
1,right_sq_bracket,1,105,1,0.9592716118577493
1,star,1,105,1,0.9321521164126014
1,triangle,1,105,1,0.9435256656648427
1,v,1,105,1,0.8120778005163611
1,arrow,1,120,1,0.827254923251399
1,caret,1,120,1,0.9692855062221495
1,check,1,120,1,0.940378272707512
1,circle,1,120,1,0.8949185378516611
1,delete_mark,1,120,1,0.917442967770304
1,left_curly_brace,1,120,1,0.8689581346725144
